seed,p0,p1,p2,p3,avg,income0,income1,income2,income3,money0,money1,money2,money3,canal_income0,canal_income1,canal_income2,canal_income3,elapsed_us
0,126,110,124,118,119.50,25,11,11,22,49,29,15,45,6,5,5,11,470715
1,85,128,140,130,120.75,18,18,14,3,33,16,23,13,5,11,3,3,611105
2,114,117,115,125,117.75,20,22,17,17,42,15,18,29,5,10,7,5,484841
3,117,56,100,113,96.50,4,-9,20,22,36,0,64,21,5,0,14,5,531318
4,82,101,114,120,104.25,20,8,19,13,55,44,27,21,11,4,7,6,455923
5,124,95,115,94,107.00,8,17,25,9,42,38,65,12,5,2,12,9,527472
6,112,97,117,96,105.50,19,11,9,0,38,34,12,32,9,7,6,8,460593
7,98,98,123,92,102.75,-1,12,21,21,22,14,14,19,4,2,9,4,437671
8,153,117,124,105,124.75,23,4,23,4,45,22,18,40,12,0,8,4,529527
9,112,114,114,96,109.00,12,22,23,5,21,44,79,42,5,13,6,11,408241
10,115,127,106,115,115.75,24,9,22,1,21,15,29,42,7,8,6,8,518182
11,117,123,118,125,120.75,24,6,8,26,31,31,24,48,9,8,4,14,537535
12,110,111,153,115,122.25,23,18,23,8,52,12,34,37,10,11,11,5,520515
13,122,138,103,106,117.25,17,10,5,14,58,45,18,36,13,8,11,2,460476
14,154,91,96,111,113.00,11,21,16,21,31,14,31,23,10,4,4,8,465610
15,109,103,133,109,113.50,10,8,12,17,42,21,39,20,6,7,9,6,441557
16,108,113,113,124,114.50,25,21,9,15,36,68,30,35,9,8,2,6,592637
17,112,98,136,115,115.25,4,9,13,25,24,14,10,35,6,6,7,9,434328
18,111,86,138,139,118.50,16,12,17,23,56,26,23,28,8,4,6,10,460639
19,88,127,90,134,109.75,0,17,14,14,19,20,47,31,-1,4,5,10,519968
20,139,99,108,116,115.50,15,18,13,8,9,21,11,12,9,3,6,4,470223
21,123,89,108,106,106.50,15,6,19,21,22,23,31,31,4,4,7,8,536374
22,105,132,98,139,118.50,12,22,18,13,18,39,51,38,3,7,7,7,468340
23,110,93,120,121,111.00,23,18,20,12,73,33,30,16,7,5,11,7,470149
24,115,118,117,105,113.75,20,8,22,18,52,39,31,30,10,8,7,5,515360
25,104,82,118,134,109.50,21,8,14,24,30,36,47,48,10,6,10,12,483005
26,127,144,117,114,125.50,19,6,23,17,43,65,7,33,8,1,8,6,583433
27,101,96,129,112,109.50,21,6,23,3,42,13,17,18,8,7,10,3,509003
28,119,112,111,111,113.25,6,18,16,22,13,42,10,16,3,5,12,6,670851
29,100,137,110,115,115.50,17,13,8,24,52,10,18,34,6,6,5,10,419515
30,105,99,83,138,106.25,5,10,4,16,47,52,22,43,12,10,0,10,322659
31,139,118,115,106,119.50,23,23,3,23,17,72,22,33,10,13,7,5,389784
32,103,98,114,91,101.50,13,22,6,0,65,56,36,53,2,7,2,6,343480
33,105,104,107,88,101.00,14,5,9,19,38,36,44,48,5,3,8,7,419591
34,106,108,108,112,108.50,16,21,4,23,34,45,28,39,9,4,2,9,507059
35,145,96,121,132,123.50,18,1,27,23,34,43,42,65,14,3,13,9,407684
36,127,117,89,89,105.50,13,15,4,0,23,34,23,25,0,8,-2,2,367778
37,108,138,108,71,106.25,14,25,12,7,23,39,32,35,2,11,2,3,540129
38,88,102,117,77,96.00,2,17,20,11,46,19,22,38,4,7,12,-2,294540
39,96,133,126,117,118.00,14,15,15,18,28,19,40,24,3,12,4,9,465940
40,122,116,102,126,116.50,5,23,21,6,32,58,25,36,5,6,7,3,542343
41,127,102,108,89,106.50,21,21,2,17,13,37,44,47,8,8,5,7,488915
42,113,95,112,139,114.75,18,13,16,8,45,39,32,19,11,3,6,6,452879
43,91,105,95,98,97.25,-2,1,10,6,47,47,69,46,2,4,1,8,384726
44,116,122,111,115,116.00,2,4,18,20,30,45,49,42,3,2,7,10,561681
45,130,108,109,103,112.50,-3,25,16,8,43,62,53,27,5,14,6,7,331118
46,105,161,128,98,123.00,18,16,21,17,20,15,26,44,7,12,9,4,436779
47,79,120,103,103,101.25,-4,24,18,17,13,39,27,41,3,5,2,3,504791
48,117,125,105,111,114.50,20,3,18,16,32,30,69,17,2,4,5,5,352696
49,108,88,92,107,98.75,1,-5,3,22,21,25,27,70,5,-2,4,9,359792
50,133,121,96,122,118.00,25,23,-3,21,75,34,39,25,9,13,2,11,587008
51,99,115,102,100,104.00,2,23,22,0,41,24,77,10,5,7,9,1,387077
52,128,102,101,130,115.25,7,24,3,25,49,13,33,39,8,6,-1,5,429912
53,85,140,147,115,121.75,17,12,24,10,28,13,33,32,7,11,8,8,549861
54,122,126,106,106,115.00,18,21,19,14,47,20,19,26,6,5,10,11,642656
55,79,107,117,119,105.50,1,8,26,23,28,4,29,26,3,3,11,6,367477
56,114,131,111,126,120.50,18,23,12,9,43,23,15,43,2,13,6,7,630362
57,131,97,110,99,109.25,19,10,16,12,40,39,24,18,10,5,6,2,455293
58,98,95,128,106,106.75,-2,23,19,8,38,43,16,43,7,9,7,-2,385368
59,116,78,144,92,107.50,24,10,11,21,48,14,34,33,11,2,10,4,519463
60,133,121,113,110,119.25,24,11,5,15,29,26,33,42,8,9,3,2,554485
61,121,98,125,112,114.00,12,16,21,18,36,25,43,24,9,-2,9,6,518519
62,119,121,108,93,110.25,4,21,13,19,47,66,27,25,3,12,10,0,511642
63,107,103,93,109,103.00,23,7,-4,-2,29,22,49,13,12,8,3,4,218138
64,111,137,107,118,118.25,18,12,8,17,46,12,35,43,6,8,7,6,607901
65,108,110,109,109,109.00,-3,21,19,10,34,28,21,11,2,10,5,6,328309
66,118,116,128,94,114.00,20,18,22,4,33,18,29,25,9,10,6,4,535393
67,100,104,139,125,117.00,15,8,9,23,30,24,39,75,6,3,3,10,539966
68,85,96,97,103,95.25,6,20,19,19,16,33,16,22,2,8,4,10,602087
69,109,115,136,110,117.50,3,16,21,20,33,43,48,18,4,9,9,3,600703
70,134,143,112,141,132.50,18,18,20,23,30,21,29,65,10,11,5,7,717072
71,108,88,89,97,95.50,17,22,-5,-1,49,16,36,44,4,8,3,1,380603
72,120,98,145,141,126.00,16,25,13,14,19,60,27,13,5,13,10,10,464799
73,88,116,116,126,111.50,13,23,17,13,37,26,38,35,6,11,9,7,432937
74,94,122,138,97,112.75,25,3,8,20,49,24,14,13,2,1,8,1,467826
75,127,108,141,125,125.25,26,5,8,22,74,39,40,19,9,5,8,8,418144
76,102,107,104,90,100.75,20,4,24,13,45,32,19,22,0,7,5,7,422698
77,86,115,113,128,110.50,10,21,18,5,25,19,27,12,0,7,-5,2,447676
78,109,91,121,117,109.50,4,19,21,17,14,43,53,24,4,-2,8,6,474574
79,131,124,99,112,116.50,10,21,17,12,31,23,21,10,3,9,2,6,539628
80,127,121,109,95,113.00,21,13,17,9,27,37,29,40,3,2,4,6,699315
81,95,112,127,135,117.25,7,14,19,21,22,13,40,38,7,7,8,5,453685
82,123,138,140,126,131.75,23,17,14,9,55,32,38,28,7,5,11,11,631449
83,118,118,96,98,107.50,16,-2,4,14,44,14,41,69,3,-2,3,1,481370
84,88,132,89,98,101.75,5,17,18,19,30,21,58,31,10,2,3,6,538406
