seed,p0,p1,p2,p3,avg
0,74,60,112,109,88.75
1,62,80,90,58,72.50
2,76,65,54,83,69.50
3,91,66,59,94,77.50
4,76,88,100,84,87.00
5,92,121,45,77,83.75
6,76,119,76,83,88.50
7,76,69,45,72,65.50
8,82,71,69,61,70.75
9,86,79,112,92,92.25
10,50,58,70,57,58.75
11,85,89,53,117,86.00
12,79,68,2,54,50.75
13,66,59,58,102,71.25
14,69,95,78,94,84.00
15,43,67,56,53,54.75
16,84,67,75,71,74.25
17,108,94,78,80,90.00
18,54,32,89,65,60.00
19,124,105,77,58,91.00
20,50,76,48,79,63.25
21,90,33,64,69,64.00
22,78,98,84,97,89.25
23,108,65,77,109,89.75
24,77,96,84,69,81.50
25,88,109,94,49,85.00
26,47,3,77,63,47.50
27,65,107,83,81,84.00
28,76,78,71,63,72.00
29,96,86,106,91,94.75
30,112,89,60,53,78.50
31,67,82,74,75,74.50
32,104,84,80,72,85.00
33,76,103,65,77,80.25
34,83,39,71,108,75.25
35,72,62,70,98,75.50
36,59,76,88,92,78.75
37,72,65,101,106,86.00
38,77,73,77,43,67.50
39,87,87,71,42,71.75
40,74,61,71,106,78.00
41,83,67,111,64,81.25
42,97,91,82,93,90.75
43,70,104,72,87,83.25
44,60,53,63,99,68.75
45,62,87,81,81,77.75
46,84,87,58,108,84.25
47,70,95,70,70,76.25
48,71,40,80,54,61.25
49,59,64,69,70,65.50
50,80,122,70,88,90.00
51,48,92,117,59,79.00
52,48,114,51,1,53.50
53,2,83,50,50,46.25
54,61,64,68,78,67.75
55,73,44,75,56,62.00
56,43,68,79,10,50.00
57,109,79,86,100,93.50
58,89,68,101,62,80.00
59,72,68,72,94,76.50
60,75,82,118,61,84.00
61,101,70,79,86,84.00
62,76,89,79,88,83.00
63,40,61,74,47,55.50
64,31,93,46,63,58.25
65,84,62,93,83,80.50
66,26,91,71,62,62.50
67,82,74,121,78,88.75
68,51,95,111,100,89.25
69,112,61,72,48,73.25
70,75,88,47,57,66.75
71,107,77,81,68,83.25
72,83,56,68,89,74.00
73,98,48,65,56,66.75
74,85,65,80,48,69.50
75,74,78,93,55,75.00
76,53,68,61,89,67.75
77,59,70,73,119,80.25
78,93,57,80,56,71.50
79,46,72,52,91,65.25
80,79,84,53,74,72.50
81,89,55,68,66,69.50
82,89,77,109,77,88.00
83,120,90,117,102,107.25
84,64,59,67,61,62.75
85,77,91,82,62,78.00
86,73,107,96,72,87.00
87,80,64,95,6,61.25
88,39,64,46,62,52.75
89,83,110,67,69,82.25
90,54,57,60,45,54.00
91,91,54,78,84,76.75
92,51,25,68,50,48.50
93,77,0,57,44,44.50
94,74,73,109,80,84.00
95,90,98,72,78,84.50
96,60,66,84,76,71.50
97,70,66,91,50,69.25
98,88,66,81,76,77.75
99,83,61,68,69,70.25
100,91,79,65,74,77.25
101,33,94,74,60,65.25
102,65,54,80,49,62.00
103,85,94,76,63,79.50
104,89,76,64,76,76.25
105,49,83,59,54,61.25
106,71,69,91,76,76.75
107,75,80,68,56,69.75
108,72,74,43,70,64.75
109,59,45,54,43,50.25
110,36,92,21,3,38.00
111,0,51,48,4,25.75
112,67,69,6,66,52.00
113,93,106,86,110,98.75
114,54,63,97,85,74.75
115,66,88,54,78,71.50
116,42,31,76,43,48.00
117,90,77,88,89,86.00
118,62,104,66,102,83.50
119,101,112,65,73,87.75
120,54,53,27,14,37.00
121,61,54,86,83,71.00
122,67,50,64,38,54.75
123,52,32,86,23,48.25
124,73,62,40,5,45.00
125,68,67,69,76,70.00
126,65,101,62,69,74.25
127,60,83,61,98,75.50
128,106,87,71,52,79.00
129,80,71,83,71,76.25
130,44,57,58,89,62.00
131,65,13,75,64,54.25
132,60,100,94,68,80.50
133,48,93,61,75,69.25
134,59,67,93,69,72.00
135,59,85,73,103,80.00
136,62,38,36,66,50.50
137,104,84,102,110,100.00
138,61,89,66,64,70.00
