seed,p0,p1,p2,p3,avg,income0,income1,income2,income3,money0,money1,money2,money3,canal_income0,canal_income1,canal_income2,canal_income3
0,57,65,95,101,79.50,12,16,8,15,14,15,15,32,4,6,4,6
1,80,100,96,73,87.25,6,14,6,16,18,33,32,23,4,6,2,2
2,85,73,68,76,75.50,-8,6,16,14,12,0,29,56,1,-1,7,7
3,85,65,65,80,73.75,12,-5,13,8,7,30,19,28,0,0,5,5
4,98,85,109,72,91.00,18,11,13,14,26,17,25,21,7,1,7,6
5,105,98,46,119,92.00,-2,13,4,25,34,12,38,13,5,7,-3,10
6,94,98,56,90,84.50,4,11,11,15,11,33,24,2,0,10,-2,6
7,85,63,59,68,68.75,14,2,10,13,7,29,6,5,5,1,-3,0
8,73,70,69,86,74.50,5,4,7,14,7,32,14,20,0,3,1,3
9,89,53,105,78,81.25,2,19,14,9,21,28,14,21,3,3,8,4
10,82,101,87,63,83.25,1,7,3,14,35,19,18,35,0,6,10,5
11,69,85,71,71,74.00,7,16,12,3,15,8,27,9,-1,2,9,3
12,50,48,5,52,38.75,17,17,-9,-10,24,34,0,30,7,7,-6,2
13,82,106,79,72,84.75,16,11,-4,10,20,4,14,9,7,2,0,6
14,64,78,83,114,84.75,0,11,5,19,32,16,32,31,5,1,6,7
15,54,68,50,60,58.00,5,5,-3,2,19,11,16,8,-1,5,0,5
16,85,73,72,71,75.25,13,9,13,15,13,17,18,14,6,1,9,7
17,53,76,84,70,70.75,1,14,11,0,17,21,24,40,-1,6,5,5
18,56,47,81,54,59.50,5,2,19,10,15,3,22,12,1,-1,6,-4
19,84,81,64,73,75.50,4,10,19,16,26,11,24,16,7,1,8,4
20,56,63,65,54,59.50,10,2,9,-9,15,16,13,0,7,5,2,1
21,97,51,75,87,77.50,21,8,-2,17,11,8,25,19,8,-1,2,4
22,76,96,93,84,87.25,10,19,16,1,24,12,21,24,2,10,5,4
23,112,98,99,95,101.00,9,14,7,21,25,17,34,20,6,0,4,10
24,72,91,95,84,85.50,3,15,11,16,13,9,22,18,2,7,-1,8
25,87,98,104,63,88.00,14,15,11,-5,33,20,26,25,-1,7,11,3
26,90,33,113,75,77.75,8,6,10,11,23,9,5,17,3,-6,4,7
27,57,115,70,67,77.25,4,19,-3,-6,11,14,12,35,4,12,0,1
28,50,74,62,42,57.00,1,1,16,3,24,18,15,17,3,5,8,5
29,89,97,97,89,93.00,13,10,11,18,5,19,39,14,0,5,8,6
30,113,77,74,55,79.75,15,4,4,-1,20,15,37,20,11,5,3,-2
31,73,70,85,85,78.25,13,6,13,23,23,28,13,22,4,4,4,12
