seed,p0,p1,p2,p3,avg
0,69,52,105,108,83.50
1,76,86,96,71,82.25
2,39,58,73,97,66.75
3,67,100,3,68,59.50
4,76,76,69,47,67.00
5,94,85,16,81,69.00
6,97,102,90,79,92.00
7,66,7,37,47,39.25
8,60,73,48,58,59.75
9,48,40,128,81,74.25
10,104,69,76,96,86.25
11,56,60,5,85,51.50
12,70,58,2,55,46.25
13,52,0,28,78,39.50
14,82,76,93,95,86.50
15,58,46,26,63,48.25
16,87,4,57,62,52.50
17,82,98,95,118,98.25
18,55,41,88,54,59.50
19,70,46,57,50,55.75
20,70,55,45,59,57.25
21,60,43,8,98,52.25
22,69,50,69,71,64.75
23,58,7,103,81,62.25
24,48,77,88,88,75.25
25,101,71,105,72,87.25
26,80,75,89,78,80.50
27,39,98,65,69,67.75
28,35,64,35,61,48.75
29,78,74,64,82,74.50
30,57,33,82,32,51.00
31,64,133,88,47,83.00
32,42,67,69,68,61.50
33,40,0,58,54,38.00
34,47,69,87,128,82.75
35,59,48,45,78,57.50
36,81,74,117,48,80.00
37,80,86,98,92,89.00
38,37,93,84,49,65.75
39,95,80,61,70,76.50
40,62,61,90,111,81.00
41,50,0,72,61,45.75
42,47,60,59,44,52.50
43,58,91,58,10,54.25
44,15,6,66,68,38.75
45,60,78,6,86,57.50
46,58,95,60,90,75.75
47,85,108,70,86,87.25
48,71,94,88,54,76.75
49,52,39,0,66,39.25
50,103,100,97,72,93.00
51,60,57,84,39,60.00
52,39,56,55,0,37.50
53,45,96,49,53,60.75
54,63,80,80,74,74.25
55,59,70,55,74,64.50
56,77,80,91,31,69.75
57,57,71,62,69,64.75
58,100,91,114,113,104.50
59,57,8,74,90,57.25
60,65,95,89,58,76.75
61,97,45,82,59,70.75
62,6,74,72,82,58.50
63,38,63,77,6,46.00
64,12,37,49,70,42.00
65,84,63,85,84,79.00
66,52,49,75,46,55.50
67,52,47,74,76,62.25
68,74,79,68,106,81.75
69,54,50,41,56,50.25
70,73,36,6,22,34.25
71,0,50,80,48,44.50
72,77,51,71,93,73.00
73,84,47,93,65,72.25
74,99,66,105,44,78.50
75,66,103,91,103,90.75
76,96,95,74,112,94.25
77,76,68,46,83,68.25
78,113,90,40,36,69.75
79,12,24,56,65,39.25
80,70,110,64,62,76.50
81,102,70,63,64,74.75
82,74,104,100,47,81.25
83,95,75,95,0,66.25
84,99,90,52,97,84.50
85,59,54,82,55,62.50
86,53,85,99,74,77.75
87,59,67,49,37,53.00
88,73,86,86,28,68.25
89,51,60,29,82,55.50
90,51,52,71,38,53.00
91,113,102,73,52,85.00
92,63,42,74,60,59.75
93,65,113,63,77,79.50
94,60,54,74,81,67.25
95,91,7,47,8,38.25
96,73,49,66,56,61.00
97,104,107,38,59,77.00
98,66,25,78,41,52.50
99,46,39,36,73,48.50
100,77,60,62,73,68.00
101,91,90,77,80,84.50
102,69,47,41,50,51.75
103,94,75,81,66,79.00
104,88,86,42,58,68.50
105,76,78,109,50,78.25
106,61,47,86,42,59.00
107,103,78,70,93,86.00
108,67,80,61,91,74.75
109,57,69,42,55,55.75
110,4,64,21,45,33.50
111,37,51,79,20,46.75
112,109,113,99,91,103.00
113,78,91,71,98,84.50
114,74,82,76,68,75.00
115,77,91,37,84,72.25
116,53,46,71,55,56.25
117,71,64,73,107,78.75
118,83,82,84,126,93.75
119,22,47,53,76,49.50
120,29,55,36,43,40.75
121,64,32,46,83,56.25
122,52,60,78,62,63.00
123,55,57,99,46,64.25
124,75,62,46,5,47.00
125,25,31,47,55,39.50
126,85,92,31,50,64.50
127,27,78,78,100,70.75
128,90,57,80,6,58.25
129,53,40,64,18,43.75
130,41,70,44,63,54.50
131,51,74,121,66,78.00
132,39,103,101,55,74.50
133,55,48,37,71,52.75
134,32,4,64,86,46.50
135,79,87,70,99,83.75
