seed,p0,p1,p2,p3,avg,income0,income1,income2,income3,money0,money1,money2,money3,canal_income0,canal_income1,canal_income2,canal_income3,elapsed_us
0,92,111,97,110,102.50,8,24,17,21,27,58,15,38,4,10,11,9,614777
1,124,95,95,90,101.00,15,16,23,24,15,30,50,61,11,7,9,11,420868
2,85,93,97,95,92.50,14,10,19,6,50,35,71,46,3,7,3,10,300147
3,104,114,93,116,106.75,9,17,22,7,33,36,71,16,7,5,8,3,327834
4,78,98,84,119,94.75,14,-4,21,14,21,49,52,16,5,5,11,9,569923
5,66,95,145,111,104.25,10,12,21,14,39,45,55,37,5,7,10,6,607596
6,133,74,108,81,99.00,9,12,18,16,29,51,42,37,6,3,7,2,741488
7,124,113,96,96,107.25,24,18,15,16,57,33,29,28,10,8,11,11,670067
8,87,87,88,112,93.50,3,19,-1,13,32,13,40,27,4,7,4,3,400515
9,103,89,99,110,100.25,8,5,7,23,14,37,33,56,6,6,8,9,395398
10,92,135,83,105,103.75,22,15,21,12,32,13,35,38,8,7,3,8,604387
11,109,96,102,105,103.00,20,14,2,24,18,36,43,56,6,-1,5,12,640263
12,124,123,108,98,113.25,27,9,0,16,59,39,36,40,13,4,4,7,409412
13,95,92,94,123,101.00,16,3,5,22,51,30,25,19,5,2,5,12,331368
14,121,99,73,101,98.50,6,19,19,8,36,24,28,40,4,9,5,3,456362
15,103,95,98,104,100.00,11,10,24,22,23,31,81,34,9,7,16,6,525835
16,123,89,91,86,97.25,9,5,27,21,40,39,17,51,7,6,12,10,500486
17,106,87,87,111,97.75,21,24,12,12,34,20,41,22,11,10,9,9,467340
18,97,98,82,95,93.00,15,5,12,2,15,40,11,49,9,7,1,6,167445
19,99,100,105,106,102.50,25,15,8,21,36,41,12,25,13,7,6,9,423458
20,68,127,98,106,99.75,21,12,-3,12,20,36,23,47,2,5,3,5,382153
21,114,90,105,93,100.50,10,23,15,9,24,20,37,43,4,10,7,10,344229
22,88,102,86,99,93.75,22,6,11,13,52,20,45,46,8,2,5,1,407348
23,121,68,119,111,104.75,21,6,10,7,38,18,26,22,10,4,8,4,502181
24,125,110,104,63,100.50,21,7,19,17,44,34,40,34,9,5,11,5,555097
25,114,69,104,81,92.00,25,11,10,20,20,26,16,27,13,4,4,4,731720
26,119,105,73,98,98.75,22,19,10,16,45,35,50,46,11,12,7,3,365562
27,111,82,106,72,92.75,23,6,17,15,30,46,22,39,11,5,11,7,491174
28,100,99,82,104,96.25,24,13,10,13,45,39,46,16,6,8,5,10,572944
29,83,107,100,95,96.25,22,3,17,8,63,39,18,11,4,9,5,9,457905
30,108,81,111,102,100.50,11,15,14,21,44,14,34,17,5,5,7,8,501181
31,121,115,99,84,104.75,24,16,5,25,26,19,14,72,13,6,5,8,768143
32,102,101,98,92,98.25,26,24,9,16,59,41,20,22,13,11,7,4,855151
33,105,79,74,80,84.50,20,13,13,24,19,62,45,24,5,4,5,13,470577
34,81,84,82,103,87.50,5,11,19,16,30,22,33,22,6,4,3,5,320138
35,132,102,80,88,100.50,15,17,16,26,49,44,53,39,8,10,6,13,452917
36,95,79,75,97,86.50,25,0,2,16,51,47,15,15,12,3,8,7,513854
37,95,90,83,109,94.25,15,12,22,9,36,23,44,42,10,5,7,7,579257
38,110,87,122,100,104.75,21,2,12,23,35,44,44,58,10,2,10,6,506641
39,131,88,111,100,107.50,13,20,11,21,37,24,18,15,8,5,2,9,637052
40,90,105,106,121,105.50,26,17,-3,15,62,16,35,24,13,9,4,4,685567
41,111,98,106,125,110.00,7,19,21,11,35,46,31,18,8,10,7,5,372669
42,98,112,126,98,108.50,4,13,24,25,38,17,33,35,4,3,10,12,427431
43,97,83,102,112,98.50,24,9,12,7,49,38,17,23,15,11,6,7,326812
44,80,98,101,83,90.50,14,23,14,11,16,19,9,32,4,3,9,1,350877
45,108,103,117,113,110.25,15,18,9,23,46,31,47,58,9,8,7,9,626297
46,103,49,94,94,85.00,13,13,19,13,28,40,21,37,10,-3,7,11,581257
47,100,121,119,97,109.25,20,19,15,7,33,15,46,38,10,10,11,1,388379
48,109,102,104,87,100.50,25,10,20,13,25,12,42,44,8,6,11,4,572533
49,105,104,116,86,102.75,14,5,26,18,17,16,58,31,8,5,8,14,395522
50,107,98,82,72,89.75,21,20,10,17,22,32,7,31,5,9,4,4,439998
51,96,105,84,103,97.00,4,20,-2,20,56,40,28,28,7,8,3,13,322930
52,120,88,109,102,104.75,0,-7,25,11,48,46,51,45,8,3,12,11,329740
53,123,125,87,106,110.25,0,7,22,20,16,43,20,26,7,9,6,5,533459
54,84,97,111,76,92.00,8,25,19,7,45,27,41,40,8,14,7,3,378557
55,100,90,83,80,88.25,18,20,11,9,22,33,43,22,10,5,6,3,591032
